Data de publicação;Afirmação checada;Organização;Tipo de informação;Tema;Objeto;Formato;Origem;Fonte
25/03/2020;Em 25 de março, um cientista francês testou com sucesso vacina contra o COVID-19.;Agência Lupa;Curas;Ciência;Teste;Texto;Meio de comunicação;Website QuerVer
25/03/2020;Autoridades de saúde recomendam raspar a barba durante a crise do COVID-19.;Agência Lupa;Autoridades;Saúde;Contágio;Texto;WhatsApp;WhatsApp
25/03/2020;Governo brasileiro iniciou pelo WhatsApp o registro de saques do Seguro Social para combater a pandemia.;Aos Fatos;Outros;Social;Indefinido;Texto;Redes sociais, WhatsApp;Facebook, WhatsApp
25/03/2020;É #FAKE que Anatel tem dado 7 GB de internet à população por causa do coronavírus;Fato ou Fake;;Tecnologia;Indefinido;Texto;Redes Sociais;Whatsapp
25/03/2020;Revista Saúde de 2003 prova que coronavírus (Covid-19) já existia e é uma armação da China #boato;Boatos.org;;Saúde;Indefinido;Texto, Vídeo;Redes Sociais;
25/03/2020;The New York Times concorda com Bolsonaro e diz que presidente está certo sobre coronavírus #boato;Boatos.org;;Cultura;Indefinido;Texto;Web;
25/03/2020;Unicamp precisa, com urgência, de engenheiros mecânicos para manutenção de respiradores #boato;Boatos.org;;Ciência;Cura;Texto;Web;
26/03/2020;General Augusto Heleno foi curado da infecção por COVID-19 usando cloroquina.;Agência Lupa;Curas;Saúde;Cloroquina;Texto;Meio de comunicação;Midia Five (website)
26/03/2020;Um homem de 48 anos, desempregado por causa da crise do COVID-19, tentou se suicidar em São Paulo.;Agência Lupa;Outros;Outros;Indefinido;Texto;Meio de comunicação;Midia Five (website)
26/03/2020;É #FAKE que vídeo mostre descarte de alimentos na Ceagesp causado por bloqueio de caminhões após o novo coronavírus;Fato ou Fake;;Outros;Indefinido;Vídeo;Redes Sociais;
26/03/2020;É #FAKE imagem que mostra inscrição 'Covid-19' em vagão de trem;Fato ou Fake;;Transporte;Indefinido;Imagem, Texto;Redes Sociais;
26/03/2020;Lula está na Dinamarca, país livre do coronavírus, enquanto Brasil sofre com Covid-19 #boato;Boatos.org;;Política;Indefinido;Texto, Vídeo;Redes Sociais;
26/03/2020;Governador de Nova York (EUA) disse que as pessoas precisam voltar ao trabalho e voltou atrás no lockdown #boato;Boatos.org;;Política;Isolamento Social;Vídeo;Web;
26/03/2020;Adib Jatene critica isolamento social como solução para combater coronavírus, mostra vídeo #boato;Boatos.org;;Outros;Isolamento Social;Texto, Vídeo;Redes Sociais;
26/03/2020;Vacina do novo coronavírus (Covid-19) virá com microchip para colher identidade da população #boato;Boatos.org;;Saúde;Vacina;Texto;Whatsapp, Web;
26/03/2020;Ministro da Educação Abraham Weintraub pede que crianças voltem às aulas nas escolas, mostra vídeo #boato;Boatos.org;;Educação;Isolamento Social;Texto, Vídeo;Redes Sociais;
27/03/2020;Foto mostra mercado supostamente saqueado por multidões furiosas por causa do bloqueio em São Paulo.;Agência Lupa;Outros;Segurança;Isolamento Social;Imagem;Redes sociais;Twitter
27/03/2020;É #FAKE mensagem que fala em cadastro para receber de R$ 600 a R$ 1.200 de auxílio emergencial por causa do coronavírus;Fato ou Fake;;Social;Indefinido;Texto;Redes Sociais;Whatsapp
27/03/2020;É #FAKE que governador do DF determinou volta às aulas e abertura total do comércio na segunda, 30;Fato ou Fake;;Política;Indefinido;Texto;Redes Sociais;
27/03/2020;Estudo da Universidade de Hamburgo aponta que coronavírus é menos perigoso que outras doenças #boato;Boatos.org;;Ciência;Indefinido;Texto;Redes Sociais;
27/03/2020;Ricardo Amorim grava áudio pedindo o fim da quarentena e apoiando Bolsonaro #boato;Boatos.org;;Política;Isolamento Social;Áudio;Whatsapp;
27/03/2020;Ceagesp (Ceasa de São Paulo) joga alimentos fora por causa da quarentena, mostra vídeo #boato;Boatos.org;;Outros;Isolamento Social;Texto, Vídeo;Web;
27/03/2020;São Vicente (SP) registra saques em supermercados por causa do novo coronavírus #boato;Boatos.org;;Segurança;Indefinido;Imagem, Texto;Redes Sociais;
28/03/2020;Decreto do governador de São Paulo aumenta artificialmente o número de mortes por COVID-19.;Estadão Verifica;Autoridades;Política;Mortes;Texto;Redes Sociais;Facebook
28/03/2020;É #FAKE que pesquisa do MIT concluiu que o coronavírus não é transmitido em locais com temperaturas acima de 20ºC;Fato ou Fake;;Ciência;Indefinido;Texto;Redes Sociais;
28/03/2020;Chefe de rotina do Hospital de Acari (Ronaldo Gazolla) pede que as pessoas saiam às ruas e voltem ao trabalho #boato;Boatos.org;;Outros;Isolamento Social;Áudio;Whatsapp;
28/03/2020;Chineses estão cuspindo em elevadores e locais públicos para espalhar coronavírus #boato;Boatos.org;;Outros;Contágio;Vídeo;Web;
28/03/2020;Rainha Elizabeth II testou positivo para coronavírus (Covid-19), diz Palácio Real #boato;Boatos.org;;Política;Contágio;Texto;Web;
28/03/2020;Doria obriga Samu a atestar mortes por outras doenças como se fossem por coronavírus em São Paulo #boato;Boatos.org;;Política;Mortes;Texto;Redes Sociais, Web;Facebook
29/03/2020;Ministério da Saúde do Brasil sugeriu que parentes das vítimas da COVID-19 deveriam duvidar dos atestados de óbito;Aos Fatos;Outros;Saúde;Mortes;Texto;Redes sociais, WhatsApp;Facebook, WhatsApp
29/03/2020;Borracheiro que morreu em um acidente de trabalho foi incluído nos números de mortes do COVID-19;Aos Fatos;Outros;Outros;Mortes;Texto, imagem;Redes sociais;Facebook
29/03/2020;É #FAKE que foto mostre carro de resgate do Corpo de Bombeiros sendo usado por assaltantes com máscaras de proteção;Fato ou Fake;;Segurança;Máscara;Imagem, Texto;Redes Sociais;Twitter
29/03/2020;É #FAKE que imagem mostre paciente curado da Covid-19 após uso de medicamento;Fato ou Fake;;Saúde;Cura;Imagem, Texto;Redes Sociais;
29/03/2020;Band saiu do ar porque Datena anunciaria a cura do coronavírus e recebeu ligação misteriosa da China #boato;Boatos.org;;Outros;Cura;Vídeo;Web;
29/03/2020;Borracheiro morreu em acidente com pneu, mas foi diagnosticado com Covid-19 para inflar estatísticas do coronavírus #boato;Boatos.org;;Outros;MOrte;Áudio, Texto, Imagem;Web;
30/03/2020;Arquivo de áudio apresenta um suposto oficial do estado do Ceará, chamado Ricardo Certi, pedindo aos diretores de uma estação de TV local que critiquem Bolsonaro e elogiem as políticas do COVID-19 do governo do Ceará.;Agência Lupa;Outros;Política;Indefinido;Áudio;WhatsApp;WhatsApp
30/03/2020;Governo brasileiro dará subsídio de emergência mensal de R$ 600 em razão do COVID-19 para cidadãos pobres. Para acessá-lo, você precisa preencher um formulário oficial (link para o formulário).;Agência Lupa;Outros;Social;Indefinido;Texto;WhatsApp;WhatsApp
30/03/2020;Ronaldo Caiado, governador de Goiás, foi espancado em razão dos decretos de isolamento social. Galeria de fotos prova isso.;Agência Lupa;Outros;Segurança;Isolamento Social;Imagem;Redes sociais;Facebook
30/03/2020;Governador do Maranhão, Flávio Dino, entrega cestas de alimentos a uma multidão de pobres apesar das recomendações de evitar aglomerações durante a crise do COVID-19.;Agência Lupa;Contágio;Política;Isolamento Social;Imagem, Texto;Redes sociais;Facebook
30/03/2020;"Em mensagem do PT, Gleisi Hoffmann pede aos afiliados que boicotem o subsídio de emergência mensal de 600 reais da COVID-19. Os eleitores do PT elegíveis devem rejeitá-lo e denunciá-lo, uma vez que está sendo pago por um ""governo fascista"".";Agência Lupa;Outros;Política;Indefinido;Texto;Redes sociais;Facebook
30/03/2020;Os empresários Luciano Hang e Roberto Justus e o cantor Eduardo Costa doaram R$ 4 milhões e 90 respiradores ao SUS (Sistema Nacional de Saúde).;Agência Lupa;Outros;Saúde;Indefinido;Texto;Redes sociais;Facebook
30/03/2020;Comida foi descartada após decreto do governador de São Paulo;Estadão Verifica;Outros;Política;Indefinido;Vídeo;Redes Sociais;Facebook
30/03/2020;"Mensagem alega que a COVID-19 teria um prazo de ""infecção máxima"" até 3 de abril no Brasil.";Estadão Verifica;Contágio;Saúde;Contágio;Texto;Redes sociais, WhatsApp;WhatsApp, Facebook
30/03/2020;Formulário em português compartilhado via WhatsApp pede que as pessoas forneçam dados pessoais para receber ajuda econômica do governo.;Estadão Verifica;Outros;Outros;Indefinido;Texto;WhatsApp;WhatsApp
30/03/2020;"Famoso médico brasileiro defende a abordagem do ""distanciamento social vertical"".";Estadão Verifica;Outros;Saúde;Isolamento Social;Vídeo;YouTube, Redes sociais;YouTube, Facebook, Twitter
30/03/2020;É #FAKE que bióloga espanhola ironizou salários de Messi e Cristiano Ronaldo ao falar de cura do coronavírus;Fato ou Fake;;Outros;Cura;Texto;Redes Sociais;Facebook
30/03/2020;É #FAKE que café tem substâncias que combatem o coronavírus;Fato ou Fake;;Outros;Indefinido;Texto;Redes Sociais;
30/03/2020;Revista de Virologia afirma que pH do novo coronavírus é ácido e que devemos comer alimentos alcalinos #boato;Boatos.org;;Saúde;Indefinido;Texto;Redes Sociais;
31/03/2020;Diretor geral da OMS deu um passo atrás e disse que o isolamento social não deve ser uma medida na luta contra o coronavírus;Aos Fatos;Autoridades;Saúde;Isolamento Social;Texto;Redes sociais, sites;Facebook, Websites
31/03/2020;Vídeo mostra mercado brasileiro vazio e a causa da escassez seriam as medidas de isolamento social;Aos Fatos;Autoridades;Economia;Isolamento Social;Vídeo;Perfil do Presidente Jair Bolsonaro;President Jair Bolsonaro
31/03/2020;Organização Mundial de Saúde condenou medidas de isolamento para conter o COVID-19.;Agência Lupa;Autoridades;Saúde;Isolamento Social;Texto;Meio de comunicação;Terça Livre, website
31/03/2020;Um representante do PSOL foi preso embriagado enquanto participava de uma festa durante isolamento social por conta do COVID-19 em Niterói, no Rio de Janeiro.;Agência Lupa;Outros;Política;Isolamento Social;Video, Texto;WhatsApp;WhatsApp
31/03/2020;"Dois homens identificados como ""donos do Carrefour"" no Brasil aparecem em vídeos criticando as medidas de isolamento.";Agência Lupa;Outros;Outros;Isolamento Social;Vídeo;Redes sociais;Facebook
31/03/2020;A epidemia de COVID-19 está quase no fim na Holanda. O governo não fechou uma única loja. Tuitado inicialmente por um ex-ministro Bolsonaro, Osmar Terra, em 31/03/20.;Agência Lupa;Autoridades;Outros;Indefinido;Texto, Imagem;Redes sociais;Twiter Osmar Terra, congressman
31/03/2020;Limão e bicarbonato curam COVID-19.;Estadão Verifica;Curas;Outros;Cura;Texto;WhatsApp;WhatsApp
31/03/2020;Uma notícia da TV italiana RAI prova que o coronavírus foi criado em laboratório pelo governo chinês.;Estadão Verifica;Teoria da conspiração;Ciência;Indefinido;Vídeo;Redes sociais;Facebook, Twitter
31/03/2020;Um vídeo de Tedros Adhanom Ghebreyesus, diretor geral da Organização Mundial da Saúde, que afirma ser contra o distanciamento social;Estadão Verifica;Medidas;Saúde;Isolamento Social;Vídeo;Youtube, Twitter;Usuário de Twitter @RFGlau
31/03/2020;É #FAKE que vídeos mostrem donos do Atacadão e do Carrefour pedindo fim do isolamento social;Fato ou Fake;;Outros;Isolamento Social;Vídeo;Redes Sociais;
31/03/2020;É #FAKE que Caco Barcellos foi agredido na região do Brás durante a pandemia do coronavírus;Fato ou Fake;;Segurança;Indefinido;Vídeo;Redes Sociais;
31/03/2020;É #FAKE que morte de traficante em tiroteio foi noticiada como se fosse por Covid-19;Fato ou Fake;;Segurança;Indefinido;Imagem;Redes Sociais;
31/03/2020;É #FAKE que vídeo mostre chinesa com coronavírus sendo presa em mercado da Austrália após cuspir em bananas;Fato ou Fake;;Segurança;Indefinido;Vídeo;Redes Sociais;
31/03/2020;Vidente espanhola Nube de María previu quarentena em programa de 24/12/2019 #boato;Boatos.org;;Religião;Isolamento Social;Vídeo;Redes Sociais;
31/03/2020;Pastor Gerson de Macedo (do Maranhão) fez profecia sobre a humanidade em áudio antes de morrer #boato;Boatos.org;;Religião;Indefinido;Áudio ;Facebook;
31/03/2020;Grupo no WhatsApp Resistência Para (do PSOL UEPA) planeja infectar pessoas com coronavírus #boato;Boatos.org;;Política;Contágio;Imagem, Texto;Whatsapp;
01/04/2020;Vídeos mostram chineses disseminando o coronavírus em outros países;Aos Fatos;Teoria da Conspiração;Outros;Contágio;Vídeo;Redes Sociais, WhatsApp, YouTube;Facebook, WhatsApp, YouTube
01/04/2020;Preso libertado por causa da epidemia de COVID-19 foi preso novamente em Campo Bom. Os policiais encontraram mais de 100 kg de cocaína em sua casa e várias armas.;Agência Lupa;Medidas;Segurança;Indefinido;Texto;Meio de comunicação;RS Agora, website
01/04/2020;João Doria, governador de São Paulo, proibiu médicos de darem cloroquina a pacientes com COVID-19.;Agência Lupa;Medidas, Curas;Política;Cloroquina;Texto;Redes sociais;Facebook
01/04/2020;Em 1/4/20, todos os pacientes com coronavírus de Blumenau (SC), Brasil, foram curados.;Agência Lupa;Contágio;Saúde;Situação da Pandemia;Texto;Redes sociais;Facebook
01/04/2020;Suposto assessor político teria pedido a meios de comunicação para difamar o presidente brasileiro Jair Bolsonaro.;Estadão Verifica;Autoridades;Política;Indefinido;Áudio;Redes sociais, WhatsApp;Facebook, WhatsApp
01/04/2020;A ajuda liberada pelo governo brasileiro fez uma multidão se reunir em uma agência bancária.;Estadão Verifica;Outros;Social;Contágio;Imagem;Redes sociais;Facebook
01/04/2020;Os áudios e vídeos que atribuem o envio de uma mensagem ao Sistema Verdes Mares de Comunicação de um suposto assessor da Casa Civil do Governo do Ceará chamado Ricardo Certillamado Ricardo Certi;Estadão Verifica;Outros;Política;Indefinido;Áudio, Vídeo;Redes sociais, Twitter, WhatsApp;Facebook, Twitter, WhatsApp
01/04/2020;O subsídio de emergência de R$ 600 a trabalhadores informais causou uma aglomeração de pessoas em frente a uma agência da Caixa Econômica Federal;Estadão Verifica;Medidas;Social;Contágio;Imagem;Redes sociais;Facebook
01/04/2020;É #FAKE que está comprovado que beber vinho combate o novo coronavírus;Fato ou Fake;;Outros;Indefinido;Texto;Redes Sociais;
01/04/2020;É #FAKE que Ceasa de Minas Gerais vive desabastecimento em meio à pandemia do coronavírus;Fato ou Fake;;Outros;Indefinido;Vídeo;Redes Sociais;Twitter
01/04/2020;Bolsonaro acaba anunciar sua renúncia por não aguentar crise do coronavírus #boato;Boatos.org;;Política;Isolamento Social;Texto;Redes Sociais;
02/04/2020;Mortes por atropelamento são contadas como mortes por COVID-19 em São Paulo, Brasil.;Aos Fatos;Outros;Outros;Mortes;Texto, imagem;Redes sociais, WhatsApp;Facebook, WhatsApp
02/04/2020;"Fotos mostram de pilhas de dinheiro espalhadas pelas ruas e a legenda: ""o povo italiano está jogando dinheiro nas ruas como um lembrete de que o dinheiro não pode comprar tudo, como exemplificado pela pandemia da COVID-19""";Agência Lupa;Outros;Economia;Indefinido;Imagem, Texto;Redes sociais;Facebook
02/04/2020;Um empresário do Brasil se matou depois de demitir 223 funcionários devido à atual crise.;Agência Lupa;Outros;Economia;Morte;Texto;Meios de comunicação, Redes sociais;Website (Boca no Trombone, Sempre Questione, Zip Rádio Web and Portal do Zacarias
02/04/2020;Enquanto a China construiu um hospital para 1 mil pessoas em 10 dias e todos aplaudiram, o Exército Brasileiro construiu hospitais de campo para 2 mil pacientes com COVID-19 em apenas 48 horas e ninguém falou nada.;Agência Lupa;Outros;Saúde;Indefinido;Texto;Redes sociais;Facebook
02/04/2020;É #FAKE que foto mostre dinheiro jogado no meio da rua na Itália em meio à pandemia do coronavírus;Fato ou Fake;;Economia;Indefinido;Imagem, Texto;Redes Sociais;
02/04/2020;Israel não tem mortes por Covid-19 e usa limão e bicarbonato na cura do coronavírus #boato;Boatos.org;;Saúde;Cura;Texto;Web;
02/04/2020;Rita Mundim grava áudio defendendo Bolsonaro e pedindo fim da quarentena #boato;Boatos.org;;Política;Isolamento Social;Áudio;Redes Sociais;
03/04/2020;Rede Globo publicou uma foto dos mortos do naufrágio Lampedusa como se fossem vítimas do COVID-19;Aos Fatos;Outros;Outros;Mortes;Imagem;Redes sociais;Facebook
03/04/2020;Texto que circula no WhatsApp que diz que chineses criaram o coronavírus e que as principais cidades da China não sofreram com a pandemia;Aos Fatos;Teoria da conspiração;Ciência;Contágio;Texto;WhatsApp;WhatsApp
03/04/2020;Foto de Tiago Leifert, apresentador do Big Brother Brasil, com um grupo de funcionários da Rede Globo em um restaurante. A legenda afirma que, enquanto a Globo defende o isolamento social, os funcionários estão em restaurantes chiques durante a epidemia da COVID-19.;Agência Lupa;Outros;Outros;Isolamento Social;Imagem;Redes sociais;Facebook
03/04/2020;O governo da Paraíba, Brasil, recebeu R$ 11,6 milhões do Governo Federal para gastar em cuidados de saúde durante a crise da COVID-19. Em vez disso, esse dinheiro está sendo gasto em apresentações artísticas.;Agência Lupa;Autoridades;Política;Indefinido;Texto;Meio de comunicação;Website (Publica Brasil)
03/04/2020;Um médico do Rio de Janeiro, Brasil, divulgou áudio dizendo que o isolamento deve terminar porque há poucos pacientes com COVID-19 na cidade.;Estadão Verifica;Outros;Saúde;Situação da Pandemia;Áudio;WhatsApp, Redes sociais;WhatsApp, Facebook
03/04/2020;Xangai e Pequim não tiveram casos de coronavírus.;Estadão Verifica;Contágio;Saúde;Situação da Pandemia;Texto;Redes sociais, WhatsApp;Facebook
03/04/2020;Governador de São Paulo, João Doria, transferiu um helicóptero usado para o casos de saúde para uso pessoal.;Estadão Verifica;Autoridades;Política;Indefinido;Imagem;Redes sociais;Facebook
03/04/2020;É #FAKE que Bill Gates ou a CIA obtiveram a patente do novo coronavírus em 2015;Fato ou Fake;;Economia;Indefinido;Texto;Redes Sociais;
03/04/2020;É #FAKE que foto mostre centenas de mortos em praça na China;Fato ou Fake;;Outros;Mortes;Áudio;Redes Sociais;Whatsapp
03/04/2020;Caminhoneiros de todo Brasil farão greve por causa da quarentena do coronavírus #boato;Boatos.org;;Transporte;Isolamento Social;Áudio;Redes Sociais;
03/04/2020;Papa Francisco pede que você amarre um pano branco na maçaneta da porta esta noite #boato;Boatos.org;;Religião;Indefinido;Texto;Web;
03/04/2020;Bandidos com roupas de profissionais de saúde e van vermelha Fiat dos bombeiros estão realizando assaltos #boato;Boatos.org;;Segurança;Indefinido;Texto;Redes Sociais;
04/04/2020;Após revisão, Estado de São Paulo registrou apenas 26 mortes pela COVID-19;Aos Fatos;Situação de um país;Outros;Situação da Pandemia;Texto;Redes sociais;Facebook
04/04/2020;Professor de Harvard foi preso por criar e vender o coronavírus;Aos Fatos;Teoria da conspiração;Ciência;Indefinido;Imagem, Texto;Redes sociais;Facebook
04/04/2020;Dois arquivos de áudio do WhatsApp afirmam que gangues de cerca de 30 viciados em drogas estão saqueando lojas e aterrorizando trabalhadores no centro de São Paulo durante isolamento social para conter a COVID-19.;Agência Lupa;Outros;Segurança;Isolamento Social;Áudio;WhatsApp;WhatsApp
04/04/2020;Foto de uma fila em Bom Prato (cadeia de restaurantes populares administrados pelo Estado que oferece refeições de baixo custo para pessoas pobres em São Paulo). A legenda afirma que João Dória, governador de São Paulo, abriu os restaurantes e permitiu a aglomeração, enquanto, ao mesmo tempo, proibia a abertura do restaurante comum.;Agência Lupa;Contágio;Política;Contágio;Imagem;Redes sociais;Facebook
04/04/2020;Vídeo mostra confronto entre usuários de drogas na Cracolância, Centro de São Paul, e Guarda Municipal. Na legenda, afirma-se que é isso que está acontecendo enquanto a cidade está em isolamento.;Agência Lupa;Outros;Segurança;Isolamento Social;Vídeo;WhatsApp;WhatsApp
04/04/2020;Deputado Federal Osmar Terra afirma que, na Itália, as políticas de isolamento social fizeram com que os casos da COVID-19 disparassem.;Agência Lupa;Contágio;Política;Isolamento Social;Texto;Redes Sociais;Twitter Osmar Terra
04/04/2020;Foi retirado dinheiro de hospitais para financiar projetos culturais no Brasil.;Estadão Verifica;Autoridades;Cultura;Indefinido;Texto, Imagem;Redes Sociais;Facebook
04/04/2020;Publicação no Facebook diz que os congressistas brasileiros se negaram a devolver seus pagamentos para combater a COVID-19.;Estadão Verifica;Autoridades;Política;Indefinido;Texto;Redes sociais;Facebook
04/04/2020;Direitos autorais da música Volare foram repassados para o hospital de Bergamo #boato;Boatos.org;;Justiça;Indefinido;Texto, Vídeo;Redes Sociais;Whatsapp, Facebook
04/04/2020;Cacau Show está dando ovos de Páscoa para quem ficar em casa e compartilhar link no WhatsApp #boato;Boatos.org;;Economia;Isolamento Social;Texto;Whatsapp, Web;
04/04/2020;China comprou cooperativas I.Riedi e Moinho Iguaçu, do Paraná, durante pandemia #boato;Boatos.org;;Economia;Indefinido;Texto;Redes Sociais;
05/04/2020;Edifício de uma federação da indústria exibia a bandeira da China na frente.;Estadão Verifica;Autoridades;Outros;Indefinido;Imagem;Redes sociais;Facebook
05/04/2020;Hospital John Hopkins publicou lista de 19 dicas sobre a Covid-19 (coronavírus) #boato;Boatos.org;;Saúde;Contágio;Texto;Redes Sociais;Twitter
05/04/2020;Alexandre Garcia diz, em texto sobre coronavírus, quarentena e Bolsonaro, que sociedade já escolheu sacrificar almas #boato;Boatos.org;;Política;Isolamento Social;Texto;Redes Sociais;Whatsapp, Facebook
05/04/2020;Série My Secret Terrius avisou que China iria criar coronavírus como arma biológica #boato;Boatos.org;;Cultura;Indefinido;Vídeo;Redes Sociais;Facebook
06/04/2020;Pesquisador americano Charles Lieber foi preso por vender o novo coronavírus aos chineses.;Agência Lupa;Teoria da Conspiração;Ciência;Indefinido;Texto;WhatsApp, Telegram;WhatsApp, Telegram
06/04/2020;Salim Mattar, proprietário da Localiza (empresa brasileira de aluguel de carros) critica as medidas de isolamento relacionadas à COVID-19.;Agência Lupa;Outros;Outros;Isolamento Social;Vídeo;Redes sociais;Facebook
06/04/2020;Rodrigo Maia, presidente da Câmara dos Deputados, disse no Twitter que prefere ver algumas pessoas morrerem de COVID-19 antes de usar o dinheiro dos fundos públicos eleitorais para pagar pelo tratamento.;Agência Lupa;Autoridades;Política;Cura;Texto;Redes sociais;Twitter
06/04/2020;As vacinas da COVID-19 não virão com um microchip para controlar a população.;Estadão Verifica;Teoria da conspiração;Ciência;Vacina;Texto;Meio de comunicação, Redes sociais;Bloggers (Livro das Revelações), WhatsApp
06/04/2020;É #FAKE post atribuído a Maia com crítica à ideia de uso do Fundo Eleitoral no combate ao coronavírus;Fato ou Fake;;Política;Indefinido;Texto;Redes Sociais;
06/04/2020;É #FAKE que vídeos mostrem dono da Localiza criticando ações de combate ao coronavírus;Fato ou Fake;;Outros;Indefinido;Vídeos;Redes Sociais;
06/04/2020;É #FAKE que governo da Alemanha recomendou substituir tapete por pano com água sanitária para evitar a Covid-19;Fato ou Fake;;Política;Indefinido;Texto;Redes Sociais;Whatsapp
06/04/2020;Bolsonaro assina decreto presidencial determinando o fim do isolamento #boato;Boatos.org;;Política;Isolamento Social;Texto;Web;
06/04/2020;Prefeito de Lisboa grava vídeo falando que China espalhou o coronavírus para o mundo #boato;Boatos.org;;Política;Contágio;Vídeo;Web;
07/04/2020;Mike Ryan, diretor da OMS, disse que as medidas de isolamento pioram a pandemia;Aos Fatos;Medidas;Saúde;Isolamento Social;Vídeo;Redes sociais;Facebook
07/04/2020;Presidente da Câmara dos Deputados do Brasil rejeitou um projeto de lei de Jair Bolsonaro sobre a quarentena do COVID-19 em fevereiro;Aos Fatos;Autoridades;Política;Isolamento Social;Texto;Redes sociais;Facebook
07/04/2020;Vídeo mostra um suposto dono de hotel em Nova York que pulou de uma janela depois de demitir todos os seus funcionários. O hotel faliu devido às políticas de isolamento social.;Agência Lupa;Outros;Economia;Isolamento Social;Vídeo;Redes Sociais;Facebook
07/04/2020;Fábio de Melo, famoso padre brasileiro, publicou texto criticando o isolamento social e pedindo empatia por quem precisa trabalhar.;Agência Lupa;Autoridades;Religião;Isolamento Social;Texto;Redes sociais, WhatsApp;Facebook, WhatsApp
07/04/2020;O prefeito de Curitiba no Brasil não decretou o fechamento de lojas e a cidade não registrou nenhuma morte pelo COVID-19.;Estadão Verifica;Autoridades;Política;Isolamento Social;Texto;Redes sociais;Facebook
07/04/2020;"Uma postagem sobre a votação dos deputados federais que teriam rejeitado uma proposta de ""desistir de seus salários e do fundo parlamentar""";Estadão Verifica;Outros;Política;Indefinido;Texto;Redes sociais;Redes sociais
07/04/2020;É #FAKE que pesquisador foi preso nos EUA por fabricar e vender o novo coronavírus para a China;Fato ou Fake;;Ciência;Indefinido;Texto;Whatsapp;
07/04/2020;Mandetta renovou contratos de publicidade de R$ 1 bilhão firmados no governo Dilma #boato;Boatos.org;;Política;Indefinido;Texto;Web;
08/04/2020;"O Hospital Leonardo Da Vinci, referência para tratamento da COVID-19 em Fortaleza (CE), Brasil, está vazio. Um vídeo ""prova"" que não havia ninguém nas áreas abertas ao público.";Agência Lupa;Outros;Saúde;Situação da Pandemia;Vídeo;Redes Sociais;Facebook
08/04/2020;"Roberto Gazolla, hospital de referência para tratamento da COVID-19 no Rio de Janeiro, Brasil, está vazio. As fotos ""provam"" que não havia ninguém nas áreas abertas ao público, como o hall de entrada.";Agência Lupa;Outros;Saúde;Situação da Pandemia;Imagem;Redes Sociais;Facebook
08/04/2020;Foto mostra aglomeração de pessoas na Cracolândia, Centro de São Paulo, supostamente durante a pandemia de coronavírus.;Agência Lupa;Contágio;Outros;Contágio;Imagem;Redes Sociais;Facebook
08/04/2020;Vídeo mostra homem em frente ao Estádio do Pacaembu, em São Paulo, onde foi construído um hospital de campanha para pacientes com COVID-19. Ele afirma que, como não há movimento na entrada, ninguém esperando para entrar, também não há ninguém lá dentro.;Agência Lupa;Outros;Outros;Situação da Pandemia;Vídeo;Redes Sociais;Facebook
08/04/2020;Pesquisadores australianos descobriram a cura para o coronavírus: um medicamento antiparasitário chamado Ivermectina.;Estadão Verifica;Curas;Ciência;Ivermectina;Texto;Redes sociais;Facebook
08/04/2020;Comer alho cru e açafrão todos os dias protege você contra o coronavírus.;Estadão Verifica;Curas;Outros;Indefinido;Vídeo;Redes sociais;Facebook
08/04/2020;Semana Bolsonaro é um movimento para reabrir lojas no Brasil e vender produtos com descontos.;Estadão Verifica;Outros;Economia;Indefinido;Vídeo;Youtube;YouTube
08/04/2020;É #FAKE foto que mostra Maia abraçado ao presidente chinês Xi Jinping;Fato ou Fake;;Política;Indefinido;Imagem, Texto;Redes Sociais;
08/04/2020;É #FAKE áudio sobre pacientes com queimaduras graves causadas por álcool em gel internados em hospital do Pará;Fato ou Fake;;Outros;Álcool em gel;Imagem;Whatsapp;
08/04/2020;É #FAKE que redes 5G disseminam o novo coronavírus;Fato ou Fake;;Tecnologia;Indefinido;Texto, Vídeo;Web;
08/04/2020;Camilo Santana, governador do Ceará, participa de festa durante quarentena do coronavírus #boato;Boatos.org;;Política;Isolamento Social;Vídeo;Redes Sociais;
08/04/2020;China compra empresa aérea Azul durante pandemia do novo coronavírus #boato;Boatos.org;;Economia;Indefinido;Texto;Web;
08/04/2020;Monja Coen está com sintomas de Covid-19 e foi atendida na plataforma Missão Covid #boato;Boatos.org;;Religião;Contágio;Texto;Redes Sociais;
09/04/2020;Número de mortes por COVID-19 em São Paulo (Brasil) foi revisada: de 201 casos confirmados para apenas 26.;Agência Lupa;Contágio;Saúde;Situação da Pandemia;Texto;Redes Sociais;Winston Ling, businessman, Twitter
09/04/2020;Um corretor brasileiro que trabalha na Nasdaq gravou vídeo em defesa do presidente brasileiro Jair Bolsonaro.;Estadão Verifica;Outros;Política;Indefinido;Vídeo;Redes sociais;Facebook
09/04/2020;O principal hospital de São Paulo, Brasil não possui pacientes infectados pela Covid-19.;Estadão Verifica;Contágio;Saúde;Situação da Pandemia;Vídeo;Redes sociais, YouTube;Facebook, YouTube
09/04/2020;Um homem chamado Antonio Carlos, 67 anos, foi tratado no Hospital Unimed-Rio e curado com tratamento com cloroquina.;Estadão Verifica;Outros;Outros;Cloroquina;Texto;Redes sociais;Twitter
09/04/2020;É #FAKE imagem de extrato bancário com depósito de auxílio emergencial em conta com saldo milionário;Fato ou Fake;;Social;Indefinido;Imagem;Redes Sociais;
